,Movie,Year,IMDB,Metascore,Vote,Runtime,Genre
668,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
669,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
670,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
671,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
672,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
673,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
674,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
675,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
676,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
677,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
678,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
679,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
680,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
681,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
682,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
683,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
684,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
685,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
686,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
687,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
688,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
689,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
690,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
691,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
692,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
693,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
694,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
695,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
696,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
697,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
698,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
699,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
700,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
701,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
702,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
703,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
704,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
705,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
706,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
707,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
708,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
709,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
710,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
711,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
712,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
713,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
714,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
715,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
716,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
717,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
718,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
719,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
720,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
721,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
722,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
723,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
724,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
725,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
726,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
727,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
728,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
729,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
730,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
731,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
732,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
733,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
734,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
735,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
736,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
737,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
738,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
739,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
740,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
741,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
742,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
743,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
744,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
745,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
746,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
747,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
748,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
749,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
750,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
751,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
752,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
753,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
754,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
755,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
756,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
757,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
758,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
759,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
760,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
761,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
762,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
763,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
764,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
765,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
766,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
767,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
768,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
769,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
770,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
771,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
772,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
773,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
774,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
775,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
776,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
777,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
778,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
779,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
780,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
781,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
782,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
783,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
784,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
785,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
786,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
787,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
788,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
789,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
790,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
791,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
792,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
793,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
794,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
795,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
796,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
797,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
798,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
799,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
800,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
801,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
802,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
803,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
804,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
805,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
806,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
807,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
808,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
809,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
810,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
811,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
812,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
813,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
814,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
815,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
816,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
817,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
818,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
819,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
820,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
821,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
822,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
823,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
824,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
825,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
826,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
827,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
828,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
829,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
830,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
831,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
832,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
833,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
834,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
835,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
836,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
837,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
838,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
839,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
840,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
841,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
842,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
843,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
844,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
845,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
846,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
847,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
848,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
849,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
850,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
851,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
852,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
853,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
854,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
855,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
856,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
857,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
858,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
859,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
860,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
861,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
862,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
863,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
864,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
865,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
866,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
867,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
868,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
869,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
870,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
871,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
872,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
873,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
874,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
875,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
876,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
877,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
878,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
879,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
880,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
881,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
882,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
883,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
884,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
885,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
886,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
887,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
888,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
889,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
890,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
891,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
892,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
893,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
894,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
895,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
896,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
897,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
898,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
899,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
900,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
901,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
902,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
903,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
904,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
905,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
906,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
907,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
908,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
909,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
910,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
911,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
912,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
913,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
914,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
915,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
916,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
917,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
918,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
919,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
920,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
921,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
922,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
923,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
924,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
925,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
926,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
927,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
928,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
929,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
930,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
931,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
932,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
933,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
934,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
935,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
936,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
937,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
938,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
939,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
940,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
941,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
942,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
943,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
944,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
945,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
946,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
947,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
948,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
949,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
950,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
951,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
952,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
953,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
954,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
955,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
956,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
957,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
958,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
959,Atomic Blonde,2017,6.7,63,167367,115 min,"Action, Biography, Comedy"
960,The Mummy,2017,5.4,34,166908,110 min,"Action, Biography, Comedy"
961,Bright,2017,6.3,29,161957,117 min,"Action, Biography, Comedy"
962,Darkest Hour,2017,7.4,75,161611,125 min,"Action, Biography, Comedy"
963,Valerian and the City of a Thousand Planets,2017,6.5,51,155052,137 min,"Action, Biography, Comedy"
964,Baywatch,2017,5.5,37,153550,116 min,"Action, Biography, Comedy"
965,American Made,2017,7.2,65,150610,115 min,"Action, Biography, Comedy"
966,Logan,2017,8.1,77,617330,137 min,"Action, Biography, Comedy"
967,Thor: Ragnarok,2017,7.9,74,553312,130 min,"Action, Biography, Comedy"
968,Guardians of the Galaxy Vol. 2,2017,7.6,67,540913,136 min,"Action, Biography, Comedy"
969,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,540316,152 min,"Action, Biography, Comedy"
970,Wonder Woman,2017,7.4,76,528536,141 min,"Action, Biography, Comedy"
971,Dunkirk,2017,7.9,94,519154,106 min,"Action, Biography, Comedy"
972,Spider-Man: Homecoming,2017,7.4,73,485753,133 min,"Action, Biography, Comedy"
973,Get Out,2017,7.7,85,461503,104 min,"Action, Biography, Comedy"
974,It,2017,7.3,69,434963,135 min,"Action, Biography, Comedy"
975,Blade Runner 2049,2017,8.0,81,431618,164 min,"Action, Biography, Comedy"
976,Baby Driver,2017,7.6,86,412492,113 min,"Action, Biography, Comedy"
977,"Three Billboards Outside Ebbing, Missouri",2017,8.2,88,400644,115 min,"Action, Biography, Comedy"
978,Justice League,2017,6.4,45,364237,120 min,"Action, Biography, Comedy"
979,The Shape of Water,2017,7.3,87,351169,123 min,"Action, Biography, Comedy"
980,John Wick: Chapter 2,2017,7.5,75,344854,122 min,"Action, Biography, Comedy"
981,Coco,2017,8.4,81,340756,105 min,"Action, Biography, Comedy"
982,Jumanji: Welcome to the Jungle,2017,6.9,58,301997,119 min,"Action, Biography, Comedy"
983,Beauty and the Beast,2017,7.1,65,259975,129 min,"Action, Biography, Comedy"
984,Kong: Skull Island,2017,6.6,62,258577,118 min,"Action, Biography, Comedy"
985,Kingsman: The Golden Circle,2017,6.7,44,257176,141 min,"Action, Biography, Comedy"
986,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.6,39,250092,129 min,"Action, Biography, Comedy"
987,Alien: Covenant,2017,6.4,65,244683,122 min,"Action, Biography, Comedy"
988,The Greatest Showman,2017,7.6,48,221133,105 min,"Action, Biography, Comedy"
989,Lady Bird,2017,7.4,94,219731,94 min,"Action, Biography, Comedy"
990,War for the Planet of the Apes,2017,7.4,82,218689,140 min,"Action, Biography, Comedy"
991,Murder on the Orient Express,2017,6.5,52,199060,114 min,"Action, Biography, Comedy"
992,Life,2017,6.6,54,198467,104 min,"Action, Biography, Comedy"
993,The Fate of the Furious,2017,6.7,56,196478,136 min,"Action, Biography, Comedy"
994,Call Me by Your Name,2017,7.9,93,192560,132 min,"Action, Biography, Comedy"
995,Wind River,2017,7.7,73,190872,107 min,"Action, Biography, Comedy"
996,Ghost in the Shell,2017,6.3,52,189463,107 min,"Action, Biography, Comedy"
997,King Arthur: Legend of the Sword,2017,6.7,41,183882,126 min,"Action, Biography, Comedy"
998,Mother!,2017,6.6,75,180872,121 min,"Action, Biography, Comedy"
999,The Hitman's Bodyguard,2017,6.9,47,178117,118 min,"Action, Biography, Comedy"
1000,"I, Tonya",2017,7.5,77,168890,119 min,"Action, Biography, Comedy"
